item,title,description,img_url,product_url,latitude,longitude,price,delivery,dates,extended_attributes,seller_names,new_row
m2180800625,2 Asahi (Honeywell) Pentax bodies voor verzamelaar en hobby,Asahi pentax sp 1000 in redelijke staat. De sluiter werkt zo te horen goed. Ook de langzaamste tijden. Achterwand opent moeilijk. ,https://images.marktplaats.com/api/v1/listing-mp-p/images/dc/dc96f5f5-2470-48bf-ba35-decd32eeccfb?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2180800625,53.280296466197,5.7008242078504,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Piet Blokland,False
m2180657717,Pentax Asahi ME Super analoge camera,"Pentax me super met pentax-m 50mm, 1:1.7. Lens. + Pentax-m 28mm, 1:2.8 Lens + panagor pmc auto tele 135mm, 1:2.8 Lens + philips fl",https://images.marktplaats.com/api/v1/listing-mp-p/images/5c/5cff92e0-a2ac-49c4-9aaa-42a887615884?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2180657717,52.03584924003,4.2799550664313,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Petervdn,False
m2176655945,PENTAX ME ASAHI Camera met Lenzen,"Pentax me camera met lenzen en een mooie opbergtas en lenzen , foto’s zijn een onderdeel van de beschrijving . Verzendkosten zijn ",https://images.marktplaats.com/api/v1/listing-mp-p/images/c8/c812994d-215b-4f31-aae1-dc98fd364171?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2176655945,51.766507128542,4.0701768785501,0.0,Ophalen of Verzenden,12 okt 24,Ophalen of Verzenden,Frits,False
m2168907711,Prachtige Asahi Pentax P30 analoge spiegelreflexcamera.,De mooiste manier van fotograferen. Weer helemaal in opkomst. Automatisch de camera de juiste verhouding laten kiezen tussen diafr,https://images.marktplaats.com/api/v1/listing-mp-p/images/d1/d17d14eb-904b-4d20-9e07-31ff2d5068fa?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2168907711,51.85281232071,5.3757934711018,75.0,Ophalen,1 okt 24,Ophalen,Jaap Gorter,False
m2157591483,Camera Asahi Pentax,Uit boedel ongebruikte camera asahi pentax zoom 70-s met origineel hoesje. Niet getest omdat batterij zo goed als leeg is. Verzend,https://images.marktplaats.com/api/v1/listing-mp-p/images/33/338c95c1-4125-47e5-9868-d9218d4e8ef2?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2157591483,51.918387014661,4.6262432273713,0.0,Ophalen of Verzenden,13 sep 24,Ophalen of Verzenden,Pieter,False
m2179300893,fototoestel,Weinig gebruikt fototoestel asahi pentax k1000 met diverse lenzen in koffer  (1ste eigenaar) fotograveren was niet mijn hobby.,https://images.marktplaats.com/api/v1/listing-mp-p/images/c1/c1e00a34-05a1-4170-86e9-5a1c4b8a9374?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2179300893,52.262356108039,6.1658656956376,0.0,Ophalen,Vandaag,Ophalen,Klaas,False
m2176078063,Pentax MZ-3 #Pentax #Asahi 50mm #MZ3,Pentax analoog met objectief. Merk: pentax model: mz-3 objectief: 50mm 1:1.7 In mooie staat. Verzenden voor risico en kosten koper,https://images.marktplaats.com/api/v1/listing-mp-p/images/dd/dd6a8932-a6d3-4d46-9707-a46c56dda5ba?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2176078063,52.538339020667,6.0612742923541,75.0,Verzenden,Gisteren,Verzenden,Sander,False
m2177686057,fotocamera en toebehoren,"Te koop camera met toebehoren set met camera, lenzen en toebehoren. Met asahi pentax sp 1000. Werkt nog prima, oa gecheckt op werk",https://images.marktplaats.com/api/v1/listing-mp-p/images/74/74478bea-578f-45c8-8840-6d5c4f510884?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2177686057,52.571907545703,5.6402654553149,0.0,Ophalen,Gisteren,Ophalen,Steenhuizen,False
m2177612347,Asahi Pentax hoekzoeker,Asahi pentax hoekzoeker,https://images.marktplaats.com/api/v1/listing-mp-p/images/bd/bd58388f-8693-42eb-9756-ec35db140ea4?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2177612347,52.411780226335,4.8899967199083,25.0,Ophalen of Verzenden,13 okt 24,Ophalen of Verzenden,Kees,False
m2174923295,Asahi Pentax SP F camera incl. Takumar 50mm 1:1.4,Zowel de camera als de lens zijn in een prachtige conditie. Hele schone lens en bladen. Alles werkt naar behoren,https://images.marktplaats.com/api/v1/listing-mp-p/images/26/260316fe-7dcb-4906-9351-4fc1e6332233?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2174923295,52.053684401906,4.6554240699868,0.0,Ophalen of Verzenden,9 okt 24,Ophalen of Verzenden,Kramp,False
